2022-04-04 22:15:20 UTC | PROCESS | INFO | (pkg/api/security/security.go:191 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2022-04-04 22:15:20 UTC | PROCESS | INFO | (pkg/util/clusteragent/clusteragent.go:128 in init) | Successfully connected to the Datadog Cluster Agent 1.18.0+commit.78e3126
2022-04-04 22:15:20 UTC | PROCESS | INFO | (collector.go:173 in logCheckDuration) | Finished process check #3 in 33.177191ms
2022-04-04 22:15:28 UTC | PROCESS | INFO | (pkg/workloadmeta/store.go:361 in startCandidates) | workloadmeta collector "kube_metadata" started successfully
2022-04-04 22:15:30 UTC | PROCESS | WARN | (pkg/util/containers/providers/cgroup/cgroup_detect.go:137 in parseCgroupMountPoints) | No mountPoints were detected, current cgroup root is: /host/sys/fs/cgroup/
2022-04-04 22:15:30 UTC | PROCESS | INFO | (collector.go:173 in logCheckDuration) | Finished process check #4 in 15.858619ms
2022-04-04 22:15:40 UTC | PROCESS | WARN | (pkg/util/containers/providers/cgroup/cgroup_detect.go:137 in parseCgroupMountPoints) | No mountPoints were detected, current cgroup root is: /host/sys/fs/cgroup/
2022-04-04 22:15:40 UTC | PROCESS | INFO | (collector.go:175 in logCheckDuration) | Finished process check #5 in 12.637718ms. First 5 check runs finished, next runs will be logged every 20 runs.
2022-04-04 22:15:50 UTC | PROCESS | WARN | (pkg/util/containers/providers/cgroup/cgroup_detect.go:137 in parseCgroupMountPoints) | No mountPoints were detected, current cgroup root is: /host/sys/fs/cgroup/
2022-04-04 22:16:00 UTC | PROCESS | WARN | (pkg/util/containers/providers/cgroup/cgroup_detect.go:137 in parseCgroupMountPoints) | No mountPoints were detected, current cgroup root is: /host/sys/fs/cgroup/
2022-04-04 22:16:10 UTC | PROCESS | WARN | (pkg/util/containers/providers/cgroup/cgroup_detect.go:137 in parseCgroupMountPoints) | No mountPoints were detected, current cgroup root is: /host/sys/fs/cgroup/
2022-04-04 22:16:20 UTC | PROCESS | WARN | (pkg/util/containers/providers/cgroup/cgroup_detect.go:137 in parseCgroupMountPoints) | No mountPoints were detected, current cgroup root is: /host/sys/fs/cgroup/
2022-04-04 22:16:30 UTC | PROCESS | WARN | (pkg/util/containers/providers/cgroup/cgroup_detect.go:137 in parseCgroupMountPoints) | No mountPoints were detected, current cgroup root is: /host/sys/fs/cgroup/
2022-04-04 22:16:40 UTC | PROCESS | WARN | (pkg/util/containers/providers/cgroup/cgroup_detect.go:137 in parseCgroupMountPoints) | No mountPoints were detected, current cgroup root is: /host/sys/fs/cgroup/
2022-04-04 22:16:50 UTC | PROCESS | WARN | (pkg/util/containers/providers/cgroup/cgroup_detect.go:137 in parseCgroupMountPoints) | No mountPoints were detected, current cgroup root is: /host/sys/fs/cgroup/
2022-04-04 22:17:00 UTC | PROCESS | WARN | (pkg/util/containers/providers/cgroup/cgroup_detect.go:137 in parseCgroupMountPoints) | No mountPoints were detected, current cgroup root is: /host/sys/fs/cgroup/
