        CONTAINER ID                                                                                     IMAGE                         COMMAND                         STATUS               PORTS                                                                                                                 NAMES
        9796afb426d0                   sha256:6e38f40d628db3002f5617342c8872c935de530d867d0f709a2fbda1a302a562          "/storage-provisioner"       Exited (255) 8 hours ago                  []                     [/k8s_storage-provisioner_storage-provisioner_kube-system_16b52cb6-949a-4a39-af1a-2317e226f344_7]
        7b72307e7891                                                                      k8s.gcr.io/pause:3.6                        "/pause"        Exited (0) 30 hours ago                  []                                 [/k8s_POD_prometheus-644764b59c-sznlv_default_f80c39bd-8cc7-4f9a-98f8-5f4945048ed4_0]
        92f208758350                                                                      k8s.gcr.io/pause:3.6                        "/pause"        Exited (0) 30 hours ago                  []                      [/k8s_POD_prometheus-deployment-67849646bc-nzlwf_default_51955445-9f73-434a-9db0-2759e944a759_0]
        120c1a8dfa90                                                                      k8s.gcr.io/pause:3.6                        "/pause"        Exited (0) 33 hours ago                  []                      [/k8s_POD_prometheus-deployment-8654b8f494-8bssw_default_94855ce0-1c9b-4005-bc27-aca126ac259f_0]
        b54efcf1cce5             redis@sha256:69a3ab2516b560690e37197b71bc61ba245aafe4525ebdece1d8a0bc5669e3e2        "docker-entrypoint.sh …"                    Up 34 hours                  []                                                     [/k8s_redis_redis_default_2be40fbc-0cb5-440b-bd3a-6e19031c7441_0]
        13157e446bec                                                                      k8s.gcr.io/pause:3.6                        "/pause"                    Up 34 hours                  []                                                       [/k8s_POD_redis_default_2be40fbc-0cb5-440b-bd3a-6e19031c7441_0]
        861e070e781b                   sha256:5c51d2b27fc482eaa42042fb5be3861f856c7b4632a9bc75a8006977dfc0da5a         "/kube-state-metrics …"                    Up 35 hours                  []   [/k8s_kube-state-metrics_release-kube-state-metrics-c4787c9c4-pdk76_default_2e18de2a-1945-4bc9-8c5b-8f85ce573092_2]
        6b6264a7e388                   sha256:5c51d2b27fc482eaa42042fb5be3861f856c7b4632a9bc75a8006977dfc0da5a         "/kube-state-metrics …"      Exited (255) 35 hours ago                  []   [/k8s_kube-state-metrics_release-kube-state-metrics-c4787c9c4-pdk76_default_2e18de2a-1945-4bc9-8c5b-8f85ce573092_1]
        c34109900dfc                   sha256:a4ca41631cc7ac19ce1be3ebf0314ac5f47af7c711f17066006db82ee3b75b03                    "/coredns …"                    Up 35 hours                  []                             [/k8s_coredns_coredns-64897985d-jf8f5_kube-system_b2102ee9-3149-43d8-a3ba-18ff36b70027_1]
        7db54c0389e8                   sha256:9b7cc9982109819e8fe5b0b6c0d3122790f88275e13b02f79e7e9e307466aa1b   "/usr/local/bin/kube-proxy …"                    Up 35 hours                  []                                 [/k8s_kube-proxy_kube-proxy-jsh2j_kube-system_d0f8cb24-b834-415f-a510-b206dc942578_1]
        1f8c8a343bf4                                                                      k8s.gcr.io/pause:3.6                        "/pause"                    Up 35 hours                  []                  [/k8s_POD_release-kube-state-metrics-c4787c9c4-pdk76_default_2e18de2a-1945-4bc9-8c5b-8f85ce573092_1]
        3c2bb31b1202                                                                      k8s.gcr.io/pause:3.6                        "/pause"                    Up 35 hours                  []                                 [/k8s_POD_coredns-64897985d-jf8f5_kube-system_b2102ee9-3149-43d8-a3ba-18ff36b70027_1]
        8a07da82d1d9                                                                      k8s.gcr.io/pause:3.6                        "/pause"                    Up 35 hours                  []                                        [/k8s_POD_kube-proxy-jsh2j_kube-system_d0f8cb24-b834-415f-a510-b206dc942578_1]
        2afe74e5baa1                                                                      k8s.gcr.io/pause:3.6                        "/pause"                    Up 35 hours                  []                                     [/k8s_POD_storage-provisioner_kube-system_16b52cb6-949a-4a39-af1a-2317e226f344_1]
        8cd1f3de22d3                   sha256:f40be0088a83e79642d0a2a1bbc55e61b9289167385e67701b82ea85fc9bbfc4              "kube-apiserver …"                    Up 35 hours                  []                          [/k8s_kube-apiserver_kube-apiserver-minikube_kube-system_cd6e47233d36a9715b0ab9632f871843_1]
        00a6a8896df1                   sha256:b07520cd7ab76ec98ea6c07ae56d21d65f29708c24f90a55a3c30d823419577e     "kube-controller-manager …"                    Up 35 hours                  []        [/k8s_kube-controller-manager_kube-controller-manager-minikube_kube-system_b965983ec05322d0973594a01d5e8245_1]
